student_id,average_Teacher_Evaluation
OGB/2024/0,5.333333333333333
OGB/2024/1,6.222222222222222
OGB/2024/10,8.0
OGB/2024/100,5.333333333333333
OGB/2024/101,3.7777777777777777
OGB/2024/102,4.6
OGB/2024/103,5.75
OGB/2024/104,3.75
OGB/2024/105,5.0
OGB/2024/106,4.0
OGB/2024/107,6.25
OGB/2024/108,6.8
OGB/2024/109,6.0
OGB/2024/11,6.6
OGB/2024/110,4.666666666666667
OGB/2024/111,4.5
OGB/2024/112,6.222222222222222
OGB/2024/113,4.4
OGB/2024/114,3.4
OGB/2024/115,6.0
OGB/2024/116,5.6
OGB/2024/117,4.888888888888889
OGB/2024/118,6.2
OGB/2024/119,7.5
OGB/2024/12,4.4
OGB/2024/120,8.75
OGB/2024/121,4.8
OGB/2024/122,8.0
OGB/2024/123,3.0
OGB/2024/124,8.25
OGB/2024/125,6.0
OGB/2024/126,6.4
OGB/2024/127,4.8
OGB/2024/128,5.2
OGB/2024/129,4.888888888888889
OGB/2024/13,6.25
OGB/2024/130,5.75
OGB/2024/131,8.444444444444445
OGB/2024/132,8.0
OGB/2024/133,5.333333333333333
OGB/2024/134,6.4
OGB/2024/135,5.2
OGB/2024/136,5.555555555555555
OGB/2024/137,5.0
OGB/2024/138,5.8
OGB/2024/139,6.75
OGB/2024/14,7.6
OGB/2024/140,5.333333333333333
OGB/2024/141,6.4
OGB/2024/142,7.25
OGB/2024/143,6.222222222222222
OGB/2024/144,5.0
OGB/2024/145,6.5
OGB/2024/146,5.6
OGB/2024/147,6.888888888888889
OGB/2024/148,2.6
OGB/2024/149,4.888888888888889
OGB/2024/15,6.2
OGB/2024/150,5.2
OGB/2024/151,5.333333333333333
OGB/2024/152,5.777777777777778
OGB/2024/153,6.25
OGB/2024/154,5.777777777777778
OGB/2024/155,5.0
OGB/2024/156,5.111111111111111
OGB/2024/157,6.8
OGB/2024/158,4.5
OGB/2024/159,5.4
OGB/2024/16,5.2
OGB/2024/160,7.777777777777778
OGB/2024/161,5.555555555555555
OGB/2024/162,6.25
OGB/2024/163,5.0
OGB/2024/164,5.0
OGB/2024/165,4.6
OGB/2024/166,7.777777777777778
OGB/2024/167,6.2
OGB/2024/168,6.0
OGB/2024/169,7.0
OGB/2024/17,6.0
OGB/2024/170,4.5
OGB/2024/171,4.0
OGB/2024/172,4.75
OGB/2024/173,5.75
OGB/2024/174,4.8
OGB/2024/175,4.0
OGB/2024/176,5.0
OGB/2024/177,5.0
OGB/2024/178,6.4
OGB/2024/179,7.25
OGB/2024/18,3.25
OGB/2024/180,5.555555555555555
OGB/2024/181,5.555555555555555
OGB/2024/182,6.75
OGB/2024/183,3.5
OGB/2024/184,4.25
OGB/2024/185,6.0
OGB/2024/186,3.75
OGB/2024/187,8.666666666666666
OGB/2024/188,6.888888888888889
OGB/2024/189,3.7777777777777777
OGB/2024/19,3.5555555555555554
OGB/2024/190,5.0
OGB/2024/191,5.4
OGB/2024/192,5.555555555555555
OGB/2024/193,7.4
OGB/2024/194,5.555555555555555
OGB/2024/195,6.0
OGB/2024/196,4.4
OGB/2024/197,5.2
OGB/2024/198,8.8
OGB/2024/199,7.5
OGB/2024/2,4.75
OGB/2024/20,4.888888888888889
OGB/2024/200,6.6
OGB/2024/201,5.0
OGB/2024/202,6.2
OGB/2024/203,7.0
OGB/2024/204,6.8
OGB/2024/205,4.0
OGB/2024/206,8.0
OGB/2024/207,5.333333333333333
OGB/2024/208,5.6
OGB/2024/209,3.8
OGB/2024/21,7.333333333333333
OGB/2024/210,6.2
OGB/2024/211,4.25
OGB/2024/212,6.0
OGB/2024/213,4.444444444444445
OGB/2024/214,3.25
OGB/2024/215,6.5
OGB/2024/216,6.666666666666667
OGB/2024/217,3.8
OGB/2024/218,8.88888888888889
OGB/2024/219,8.0
OGB/2024/22,7.6
OGB/2024/220,4.75
OGB/2024/221,5.777777777777778
OGB/2024/222,7.25
OGB/2024/223,5.0
OGB/2024/224,7.2
OGB/2024/225,5.0
OGB/2024/226,7.8
OGB/2024/227,5.8
OGB/2024/228,5.25
OGB/2024/229,5.777777777777778
OGB/2024/23,6.222222222222222
OGB/2024/230,5.4
OGB/2024/231,6.4
OGB/2024/232,2.75
OGB/2024/233,6.444444444444445
OGB/2024/234,6.25
OGB/2024/235,5.25
OGB/2024/236,6.75
OGB/2024/237,6.4
OGB/2024/238,3.7777777777777777
OGB/2024/239,3.6
OGB/2024/24,5.2
OGB/2024/240,7.25
OGB/2024/241,5.777777777777778
OGB/2024/242,5.5
OGB/2024/243,4.2
OGB/2024/244,6.0
OGB/2024/245,6.2
OGB/2024/246,3.5555555555555554
OGB/2024/247,6.666666666666667
OGB/2024/248,4.888888888888889
OGB/2024/249,6.6
OGB/2024/25,6.0
OGB/2024/250,6.222222222222222
OGB/2024/251,8.0
OGB/2024/252,6.25
OGB/2024/253,4.0
OGB/2024/254,3.75
OGB/2024/255,6.8
OGB/2024/256,5.75
OGB/2024/257,4.0
OGB/2024/258,6.0
OGB/2024/259,5.777777777777778
OGB/2024/26,6.6
OGB/2024/260,6.0
OGB/2024/261,6.75
OGB/2024/262,6.4
OGB/2024/263,6.0
OGB/2024/264,5.25
OGB/2024/265,3.7777777777777777
OGB/2024/266,4.666666666666667
OGB/2024/267,4.888888888888889
OGB/2024/268,6.25
OGB/2024/269,6.888888888888889
OGB/2024/27,7.0
OGB/2024/270,5.0
OGB/2024/271,5.6
OGB/2024/272,3.3333333333333335
OGB/2024/273,7.2
OGB/2024/274,4.75
OGB/2024/275,4.888888888888889
OGB/2024/276,7.25
OGB/2024/277,5.25
OGB/2024/278,6.4
OGB/2024/279,5.111111111111111
OGB/2024/28,5.4
OGB/2024/280,6.666666666666667
OGB/2024/281,6.5
OGB/2024/282,4.4
OGB/2024/283,4.5
OGB/2024/284,4.222222222222222
OGB/2024/285,5.2
OGB/2024/286,6.75
OGB/2024/287,7.8
OGB/2024/288,4.5
OGB/2024/289,4.888888888888889
OGB/2024/29,5.111111111111111
OGB/2024/290,5.777777777777778
OGB/2024/291,5.5
OGB/2024/292,6.6
OGB/2024/293,6.5
OGB/2024/294,4.2
OGB/2024/295,6.0
OGB/2024/296,3.4
OGB/2024/297,5.333333333333333
OGB/2024/298,5.555555555555555
OGB/2024/299,6.6
OGB/2024/3,5.0
