student_id,average_teacher_evaluation
OGB/2024/0,8.0
OGB/2024/1,3.75
OGB/2024/10,3.5555555555555554
OGB/2024/100,6.0
OGB/2024/101,4.666666666666667
OGB/2024/102,4.5
OGB/2024/103,6.222222222222222
OGB/2024/104,4.4
OGB/2024/105,3.4
OGB/2024/106,6.0
OGB/2024/107,5.6
OGB/2024/108,4.888888888888889
OGB/2024/109,6.2
OGB/2024/11,4.888888888888889
OGB/2024/110,7.5
OGB/2024/111,8.75
OGB/2024/112,4.8
OGB/2024/113,8.0
OGB/2024/114,3.0
OGB/2024/115,8.25
OGB/2024/116,6.0
OGB/2024/117,6.4
OGB/2024/118,4.8
OGB/2024/119,5.2
OGB/2024/12,7.333333333333333
OGB/2024/120,4.888888888888889
OGB/2024/121,5.75
OGB/2024/122,8.444444444444445
OGB/2024/123,8.0
OGB/2024/124,5.333333333333333
OGB/2024/125,6.4
OGB/2024/126,5.2
OGB/2024/127,5.555555555555555
OGB/2024/128,5.0
OGB/2024/129,5.8
OGB/2024/13,7.6
OGB/2024/130,6.75
OGB/2024/131,5.333333333333333
OGB/2024/132,6.4
OGB/2024/133,7.25
OGB/2024/134,6.222222222222222
OGB/2024/135,5.0
OGB/2024/136,6.5
OGB/2024/137,5.6
OGB/2024/138,6.888888888888889
OGB/2024/139,2.6
OGB/2024/14,6.222222222222222
OGB/2024/140,4.888888888888889
OGB/2024/141,5.2
OGB/2024/142,5.333333333333333
OGB/2024/143,5.777777777777778
OGB/2024/144,6.25
OGB/2024/145,5.777777777777778
OGB/2024/146,5.0
OGB/2024/147,5.111111111111111
OGB/2024/148,6.8
OGB/2024/149,4.5
OGB/2024/15,5.2
OGB/2024/150,5.4
OGB/2024/151,7.777777777777778
OGB/2024/152,5.555555555555555
OGB/2024/153,6.25
OGB/2024/154,5.0
OGB/2024/155,5.0
OGB/2024/156,4.6
OGB/2024/157,7.777777777777778
OGB/2024/158,6.2
OGB/2024/159,6.0
OGB/2024/16,6.0
OGB/2024/160,7.0
OGB/2024/161,4.5
OGB/2024/162,4.0
OGB/2024/163,4.75
OGB/2024/164,5.75
OGB/2024/165,4.8
OGB/2024/166,4.0
OGB/2024/167,5.0
OGB/2024/168,5.0
OGB/2024/169,6.4
OGB/2024/17,6.6
OGB/2024/170,7.25
OGB/2024/171,5.555555555555555
OGB/2024/172,5.555555555555555
OGB/2024/173,6.75
OGB/2024/174,3.5
OGB/2024/175,4.25
OGB/2024/176,6.0
OGB/2024/177,3.75
OGB/2024/178,8.666666666666666
OGB/2024/179,6.888888888888889
OGB/2024/18,7.0
OGB/2024/180,3.7777777777777777
OGB/2024/181,5.0
OGB/2024/182,5.4
OGB/2024/183,5.555555555555555
OGB/2024/184,7.4
OGB/2024/185,5.555555555555555
OGB/2024/186,6.0
OGB/2024/187,4.4
OGB/2024/188,5.2
OGB/2024/189,8.8
OGB/2024/19,5.4
OGB/2024/190,7.5
OGB/2024/191,6.6
OGB/2024/192,5.0
OGB/2024/193,6.2
OGB/2024/194,7.0
OGB/2024/195,6.8
OGB/2024/196,4.0
OGB/2024/197,8.0
OGB/2024/198,5.333333333333333
OGB/2024/199,5.6
OGB/2024/2,6.888888888888889
OGB/2024/20,5.111111111111111
OGB/2024/200,3.8
OGB/2024/201,6.2
OGB/2024/202,4.25
OGB/2024/203,6.0
OGB/2024/204,4.444444444444445
OGB/2024/205,3.25
OGB/2024/206,6.5
OGB/2024/207,6.666666666666667
OGB/2024/208,3.8
OGB/2024/209,8.88888888888889
OGB/2024/21,7.0
OGB/2024/210,8.0
OGB/2024/211,4.75
