attendance_id,student_id,date,status
0,OGB/2024/0,2024-01-07,1
1,OGB/2024/0,2024-09-27,0
2,OGB/2024/0,2024-12-11,1
3,OGB/2024/0,2024-10-08,1
4,OGB/2024/0,2024-05-26,1
5,OGB/2024/0,2024-01-03,1
6,OGB/2024/0,2024-06-07,1
7,OGB/2024/0,2024-07-10,0
8,OGB/2024/0,2024-02-11,1
9,OGB/2024/0,2024-05-15,1
10,OGB/2024/0,2024-02-11,1
11,OGB/2024/0,2024-06-07,0
12,OGB/2024/0,2024-02-07,1
13,OGB/2024/0,2024-12-06,1
14,OGB/2024/0,2024-06-20,1
15,OGB/2024/0,2024-04-27,1
16,OGB/2024/0,2024-07-16,1
17,OGB/2024/0,2024-12-28,1
18,OGB/2024/0,2024-09-04,1
19,OGB/2024/0,2024-04-26,1
20,OGB/2024/0,2024-07-15,1
21,OGB/2024/0,2024-06-02,1
22,OGB/2024/0,2024-01-20,1
23,OGB/2024/0,2024-05-28,1
24,OGB/2024/0,2024-03-23,1
25,OGB/2024/0,2024-11-26,1
26,OGB/2024/0,2024-02-10,1
27,OGB/2024/0,2024-02-02,1
28,OGB/2024/0,2024-06-06,1
29,OGB/2024/0,2024-08-13,1
30,OGB/2024/0,2024-10-17,1
31,OGB/2024/0,2024-02-23,1
32,OGB/2024/0,2024-10-17,1
33,OGB/2024/0,2024-08-18,0
34,OGB/2024/0,2024-01-20,0
35,OGB/2024/0,2024-12-27,1
36,OGB/2024/0,2024-03-25,1
37,OGB/2024/0,2024-08-01,1
38,OGB/2024/0,2024-05-12,1
39,OGB/2024/0,2024-03-08,1
40,OGB/2024/0,2024-09-17,1
41,OGB/2024/0,2024-09-28,1
42,OGB/2024/0,2024-06-13,1
43,OGB/2024/0,2024-03-05,0
44,OGB/2024/0,2024-06-18,1
45,OGB/2024/0,2024-07-14,1
46,OGB/2024/0,2024-01-11,1
47,OGB/2024/0,2024-10-17,1
48,OGB/2024/0,2024-07-26,1
49,OGB/2024/0,2024-08-18,1
50,OGB/2024/0,2024-08-09,0
51,OGB/2024/0,2024-05-28,1
52,OGB/2024/0,2024-03-05,0
53,OGB/2024/0,2024-08-23,0
54,OGB/2024/0,2024-06-17,1
55,OGB/2024/0,2024-06-24,0
56,OGB/2024/0,2024-11-09,1
57,OGB/2024/0,2024-09-21,1
58,OGB/2024/0,2024-06-24,1
59,OGB/2024/0,2024-10-14,1
60,OGB/2024/0,2024-06-26,1
61,OGB/2024/0,2024-06-26,1
62,OGB/2024/0,2024-12-27,1
63,OGB/2024/0,2024-10-10,1
64,OGB/2024/0,2024-03-17,1
65,OGB/2024/0,2024-03-10,1
66,OGB/2024/0,2024-10-04,1
67,OGB/2024/0,2024-02-26,1
68,OGB/2024/0,2024-12-14,1
69,OGB/2024/0,2024-06-01,0
70,OGB/2024/1,2024-03-28,1
71,OGB/2024/1,2024-01-02,1
72,OGB/2024/1,2024-01-05,1
73,OGB/2024/1,2024-05-12,1
74,OGB/2024/1,2024-11-08,1
75,OGB/2024/1,2024-10-21,1
76,OGB/2024/1,2024-04-03,1
77,OGB/2024/1,2024-04-05,1
78,OGB/2024/1,2024-11-27,1
79,OGB/2024/1,2024-02-26,1
80,OGB/2024/1,2024-06-28,0
81,OGB/2024/1,2024-06-03,1
82,OGB/2024/1,2024-04-01,1
83,OGB/2024/1,2024-06-11,1
84,OGB/2024/1,2024-08-02,1
85,OGB/2024/1,2024-09-07,1
86,OGB/2024/1,2024-11-21,1
87,OGB/2024/1,2024-07-18,1
88,OGB/2024/1,2024-12-06,0
89,OGB/2024/1,2024-11-04,1
90,OGB/2024/1,2024-05-10,1
91,OGB/2024/1,2024-05-28,1
92,OGB/2024/1,2024-09-17,1
93,OGB/2024/1,2024-10-13,1
94,OGB/2024/1,2024-07-19,1
95,OGB/2024/1,2024-10-23,1
96,OGB/2024/1,2024-08-05,1
97,OGB/2024/1,2024-08-28,1
98,OGB/2024/1,2024-12-08,1
99,OGB/2024/1,2024-07-15,1
100,OGB/2024/1,2024-11-26,1
101,OGB/2024/1,2024-08-24,1
102,OGB/2024/1,2024-05-21,1
103,OGB/2024/1,2024-07-05,1
104,OGB/2024/1,2024-12-01,0
105,OGB/2024/1,2024-03-12,1
106,OGB/2024/1,2024-09-24,1
107,OGB/2024/1,2024-12-06,1
108,OGB/2024/1,2024-06-10,1
109,OGB/2024/1,2024-04-03,1
110,OGB/2024/1,2024-09-07,1
111,OGB/2024/1,2024-03-23,1
112,OGB/2024/1,2024-09-26,0
113,OGB/2024/1,2024-02-24,1
114,OGB/2024/1,2024-03-07,1
115,OGB/2024/1,2024-02-05,0
116,OGB/2024/1,2024-04-20,1
117,OGB/2024/1,2024-03-27,1
118,OGB/2024/1,2024-11-01,0
119,OGB/2024/1,2024-11-10,1
120,OGB/2024/1,2024-10-03,1
121,OGB/2024/1,2024-01-13,0
122,OGB/2024/1,2024-12-01,1
123,OGB/2024/1,2024-02-17,1
124,OGB/2024/1,2024-04-14,1
125,OGB/2024/1,2024-05-16,1
126,OGB/2024/1,2024-03-07,1
127,OGB/2024/1,2024-12-18,0
128,OGB/2024/1,2024-08-12,1
129,OGB/2024/1,2024-01-18,1
130,OGB/2024/1,2024-03-25,1
131,OGB/2024/1,2024-08-13,1
132,OGB/2024/1,2024-09-23,1
133,OGB/2024/1,2024-02-22,1
134,OGB/2024/1,2024-08-06,0
135,OGB/2024/1,2024-03-12,1
136,OGB/2024/1,2024-08-15,1
137,OGB/2024/1,2024-06-09,1
138,OGB/2024/1,2024-12-12,1
139,OGB/2024/1,2024-09-21,0
140,OGB/2024/2,2024-05-16,0
141,OGB/2024/2,2024-03-13,1
142,OGB/2024/2,2024-03-28,1
143,OGB/2024/2,2024-10-02,1
144,OGB/2024/2,2024-06-05,1
145,OGB/2024/2,2024-10-03,1
146,OGB/2024/2,2024-09-27,1
147,OGB/2024/2,2024-11-24,1
148,OGB/2024/2,2024-08-13,1
149,OGB/2024/2,2024-11-18,1
150,OGB/2024/2,2024-04-24,0
151,OGB/2024/2,2024-02-13,1
152,OGB/2024/2,2024-01-18,1
153,OGB/2024/2,2024-03-23,1
154,OGB/2024/2,2024-08-04,0
155,OGB/2024/2,2024-11-16,1
156,OGB/2024/2,2024-03-03,1
157,OGB/2024/2,2024-08-22,1
158,OGB/2024/2,2024-04-07,1
159,OGB/2024/2,2024-08-26,1
160,OGB/2024/2,2024-12-24,1
161,OGB/2024/2,2024-04-19,1
162,OGB/2024/2,2024-11-19,1
163,OGB/2024/2,2024-03-27,1
164,OGB/2024/2,2024-01-11,1
165,OGB/2024/2,2024-03-06,1
166,OGB/2024/2,2024-03-19,1
167,OGB/2024/2,2024-10-20,1
168,OGB/2024/2,2024-04-24,1
169,OGB/2024/2,2024-07-06,1
170,OGB/2024/2,2024-02-24,1
171,OGB/2024/2,2024-07-26,1
172,OGB/2024/2,2024-06-22,1
173,OGB/2024/2,2024-10-03,1
174,OGB/2024/2,2024-11-10,1
175,OGB/2024/2,2024-04-18,1
176,OGB/2024/2,2024-09-05,1
177,OGB/2024/2,2024-04-06,1
178,OGB/2024/2,2024-06-21,0
179,OGB/2024/2,2024-06-23,1
180,OGB/2024/2,2024-04-26,1
181,OGB/2024/2,2024-10-28,1
182,OGB/2024/2,2024-09-07,0
183,OGB/2024/2,2024-06-18,0
184,OGB/2024/2,2024-05-09,1
185,OGB/2024/2,2024-07-04,1
186,OGB/2024/2,2024-08-24,1
187,OGB/2024/2,2024-11-15,1
188,OGB/2024/2,2024-12-24,1
189,OGB/2024/2,2024-08-08,1
190,OGB/2024/2,2024-03-26,1
191,OGB/2024/2,2024-07-10,0
192,OGB/2024/2,2024-04-01,0
193,OGB/2024/2,2024-10-11,1
194,OGB/2024/2,2024-05-28,1
195,OGB/2024/2,2024-05-19,1
196,OGB/2024/2,2024-08-20,1
197,OGB/2024/2,2024-12-24,0
198,OGB/2024/2,2024-02-06,0
199,OGB/2024/2,2024-08-20,1
200,OGB/2024/2,2024-10-15,1
201,OGB/2024/2,2024-01-06,1
202,OGB/2024/2,2024-10-06,1
203,OGB/2024/2,2024-08-03,0
204,OGB/2024/2,2024-03-02,1
205,OGB/2024/2,2024-06-08,1
206,OGB/2024/2,2024-11-20,1
207,OGB/2024/2,2024-08-25,1
208,OGB/2024/2,2024-09-16,1
209,OGB/2024/2,2024-12-04,1
210,OGB/2024/3,2024-04-16,1
211,OGB/2024/3,2024-12-27,1
212,OGB/2024/3,2024-06-05,1
213,OGB/2024/3,2024-10-18,1
214,OGB/2024/3,2024-09-08,1
215,OGB/2024/3,2024-03-05,1
216,OGB/2024/3,2024-01-26,1
217,OGB/2024/3,2024-11-25,1
218,OGB/2024/3,2024-02-05,1
219,OGB/2024/3,2024-06-13,1
220,OGB/2024/3,2024-12-26,1
221,OGB/2024/3,2024-12-28,1
222,OGB/2024/3,2024-01-18,1
223,OGB/2024/3,2024-04-06,1
224,OGB/2024/3,2024-01-02,1
225,OGB/2024/3,2024-05-25,1
226,OGB/2024/3,2024-09-16,0
227,OGB/2024/3,2024-10-26,1
228,OGB/2024/3,2024-11-15,0
229,OGB/2024/3,2024-09-17,1
230,OGB/2024/3,2024-09-28,1
231,OGB/2024/3,2024-10-15,1
232,OGB/2024/3,2024-06-22,1
233,OGB/2024/3,2024-04-23,1
234,OGB/2024/3,2024-12-24,1
235,OGB/2024/3,2024-12-12,1
236,OGB/2024/3,2024-11-17,1
237,OGB/2024/3,2024-06-06,1
238,OGB/2024/3,2024-04-21,1
239,OGB/2024/3,2024-09-13,1
240,OGB/2024/3,2024-01-26,0
241,OGB/2024/3,2024-01-07,0
242,OGB/2024/3,2024-01-09,0
243,OGB/2024/3,2024-05-08,1
244,OGB/2024/3,2024-07-21,1
245,OGB/2024/3,2024-02-27,0
246,OGB/2024/3,2024-10-28,1
247,OGB/2024/3,2024-10-11,0
248,OGB/2024/3,2024-02-15,0
249,OGB/2024/3,2024-02-12,0
250,OGB/2024/3,2024-03-07,1
251,OGB/2024/3,2024-12-19,1
252,OGB/2024/3,2024-02-01,0
253,OGB/2024/3,2024-03-21,1
254,OGB/2024/3,2024-10-06,1
255,OGB/2024/3,2024-12-19,1
256,OGB/2024/3,2024-12-12,0
257,OGB/2024/3,2024-11-01,1
258,OGB/2024/3,2024-02-10,1
259,OGB/2024/3,2024-04-16,1
260,OGB/2024/3,2024-05-21,1
261,OGB/2024/3,2024-12-17,0
262,OGB/2024/3,2024-04-02,1
263,OGB/2024/3,2024-10-27,1
264,OGB/2024/3,2024-04-01,0
265,OGB/2024/3,2024-10-14,1
266,OGB/2024/3,2024-08-03,1
267,OGB/2024/3,2024-04-22,1
268,OGB/2024/3,2024-10-16,1
269,OGB/2024/3,2024-02-20,1
270,OGB/2024/3,2024-02-05,1
271,OGB/2024/3,2024-07-02,1
272,OGB/2024/3,2024-11-05,0
273,OGB/2024/3,2024-12-05,0
274,OGB/2024/3,2024-02-07,1
275,OGB/2024/3,2024-03-04,1
276,OGB/2024/3,2024-11-23,1
277,OGB/2024/3,2024-08-14,1
278,OGB/2024/3,2024-08-25,1
279,OGB/2024/3,2024-11-05,1
280,OGB/2024/4,2024-01-04,0
281,OGB/2024/4,2024-10-25,1
282,OGB/2024/4,2024-12-22,1
283,OGB/2024/4,2024-02-04,1
284,OGB/2024/4,2024-02-13,1
285,OGB/2024/4,2024-07-04,1
