class,subject_id,teacher_id
Jss 1,subject_27,OGBTeacher/2024/14
Jss 1,subject_1,OGBTeacher/2024/23
Jss 1,subject_28,OGBTeacher/2024/10
Jss 1,subject_23,OGBTeacher/2024/22
Jss 1,subject_16,OGBTeacher/2024/6
Jss 1,subject_13,OGBTeacher/2024/4
Jss 1,subject_6,OGBTeacher/2024/23
Jss 1,subject_11,OGBTeacher/2024/21
Jss 2,subject_6,OGBTeacher/2024/10
Jss 2,subject_12,OGBTeacher/2024/12
Jss 2,subject_3,OGBTeacher/2024/22
Jss 2,subject_20,OGBTeacher/2024/9
Jss 2,subject_10,OGBTeacher/2024/18
Jss 2,subject_21,OGBTeacher/2024/13
Jss 2,subject_17,OGBTeacher/2024/9
Jss 3,subject_8,OGBTeacher/2024/5
Jss 3,subject_3,OGBTeacher/2024/19
Jss 3,subject_20,OGBTeacher/2024/4
Jss 3,subject_23,OGBTeacher/2024/22
Jss 3,subject_22,OGBTeacher/2024/23
Jss 3,subject_29,OGBTeacher/2024/9
SS1,subject_29,OGBTeacher/2024/22
SS1,subject_20,OGBTeacher/2024/19
SS1,subject_24,OGBTeacher/2024/3
SS1,subject_7,OGBTeacher/2024/21
SS1,subject_16,OGBTeacher/2024/24
SS2,subject_22,OGBTeacher/2024/17
SS2,subject_29,OGBTeacher/2024/10
SS2,subject_4,OGBTeacher/2024/8
SS2,subject_11,OGBTeacher/2024/24
SS2,subject_12,OGBTeacher/2024/0
SS3,subject_23,OGBTeacher/2024/5
SS3,subject_26,OGBTeacher/2024/3
SS3,subject_17,OGBTeacher/2024/7
SS3,subject_14,OGBTeacher/2024/24
SS3,subject_2,OGBTeacher/2024/10
