academic_record_id,student_id,subject_id,attendance_percentage,assignment_score,exam_score,final_grade
0,OGB/2024/0,subject_1,79.67,40.39,47.91,53.11
1,OGB/2024/0,subject_7,79.08,77.64,43.13,59.5
2,OGB/2024/0,subject_9,75.1,66.34,48.44,55.25
3,OGB/2024/0,subject_10,53.1,59.77,41.07,48.75
4,OGB/2024/0,subject_3,97.02,66.68,67.72,71.28
5,OGB/2024/0,subject_5,91.73,65.42,99.59,90.53
6,OGB/2024/0,subject_8,72.25,56.73,58.91,63.31
7,OGB/2024/0,subject_6,84.82,87.2,98.43,91.0
8,OGB/2024/0,subject_2,66.24,42.15,71.75,66.46
9,OGB/2024/0,subject_4,66.13,56.26,44.04,49.65
10,OGB/2024/1,subject_13,97.75,59.21,64.35,69.9
11,OGB/2024/1,subject_24,75.66,68.22,79.95,76.33
12,OGB/2024/1,subject_26,62.02,81.92,84.8,79.52
13,OGB/2024/1,subject_16,94.1,99.89,86.31,89.12
14,OGB/2024/1,subject_2,82.61,58.9,55.58,59.12
15,OGB/2024/1,subject_29,60.94,79.95,73.24,73.33
16,OGB/2024/1,subject_18,85.23,52.53,73.26,69.05
17,OGB/2024/1,subject_25,50.91,42.13,80.82,69.86
18,OGB/2024/1,subject_6,94.19,92.71,98.71,97.46
19,OGB/2024/2,subject_14,84.64,49.92,56.93,59.75
20,OGB/2024/2,subject_21,71.43,45.54,90.36,74.82
21,OGB/2024/2,subject_18,98.44,94.68,82.18,88.37
22,OGB/2024/2,subject_27,87.17,91.43,87.58,85.82
23,OGB/2024/2,subject_1,80.62,82.94,74.44,77.63
24,OGB/2024/2,subject_16,66.21,99.85,99.45,94.52
25,OGB/2024/2,subject_5,64.95,41.04,44.61,45.39
26,OGB/2024/2,subject_2,73.98,61.79,43.42,51.57
27,OGB/2024/2,subject_23,73.19,85.14,52.17,63.84
28,OGB/2024/2,subject_26,58.84,43.94,49.96,51.5
29,OGB/2024/3,subject_27,53.34,44.84,79.15,67.88
30,OGB/2024/3,subject_13,62.01,88.3,72.78,71.97
31,OGB/2024/3,subject_15,52.26,63.18,87.79,76.66
32,OGB/2024/3,subject_6,90.84,87.95,75.36,81.59
33,OGB/2024/3,subject_2,98.21,61.52,67.66,72.35
34,OGB/2024/3,subject_16,98.47,62.05,97.0,91.77
35,OGB/2024/3,subject_22,96.6,95.0,78.61,82.62
36,OGB/2024/3,subject_28,79.51,58.48,48.27,56.43
37,OGB/2024/4,subject_5,99.0,96.45,96.08,96.81
38,OGB/2024/4,subject_1,94.28,55.27,59.16,63.34
39,OGB/2024/4,subject_17,95.87,89.37,59.42,75.45
40,OGB/2024/4,subject_26,81.08,55.34,47.52,55.85
41,OGB/2024/4,subject_27,99.9,95.32,55.56,74.74
42,OGB/2024/4,subject_15,87.62,84.18,48.87,65.97
43,OGB/2024/4,subject_6,76.4,65.87,46.51,54.63
44,OGB/2024/4,subject_24,59.49,79.15,40.65,51.68
45,OGB/2024/4,subject_2,90.36,77.72,53.64,63.27
46,OGB/2024/4,subject_14,83.56,81.97,69.56,77.49
47,OGB/2024/5,subject_2,58.8,95.46,44.58,55.3
48,OGB/2024/5,subject_27,55.19,75.15,96.67,84.37
49,OGB/2024/5,subject_16,83.13,42.93,68.92,66.98
50,OGB/2024/5,subject_14,94.25,52.4,76.06,76.9
51,OGB/2024/5,subject_26,59.41,88.33,76.28,76.1
52,OGB/2024/5,subject_22,80.37,96.49,88.71,90.53
53,OGB/2024/5,subject_28,51.05,41.07,85.49,72.14
54,OGB/2024/5,subject_24,57.66,73.83,79.43,74.94
55,OGB/2024/5,subject_21,75.32,47.09,47.15,51.19
56,OGB/2024/6,subject_27,68.12,72.57,99.46,87.53
57,OGB/2024/6,subject_24,82.95,89.21,66.14,71.33
58,OGB/2024/6,subject_16,70.39,69.7,43.09,52.55
59,OGB/2024/6,subject_18,70.94,56.4,95.68,83.81
60,OGB/2024/6,subject_25,96.75,71.78,99.1,94.5
61,OGB/2024/6,subject_29,63.59,56.4,81.43,75.54
62,OGB/2024/6,subject_5,79.19,81.18,68.31,75.34
63,OGB/2024/6,subject_22,78.84,88.45,94.43,88.65
64,OGB/2024/6,subject_23,57.25,89.7,49.18,61.28
65,OGB/2024/6,subject_1,63.18,74.97,42.22,51.77
66,OGB/2024/7,subject_29,94.78,63.5,85.88,82.44
67,OGB/2024/7,subject_28,83.86,83.23,46.4,58.58
68,OGB/2024/7,subject_17,62.32,56.27,91.02,80.66
69,OGB/2024/7,subject_23,98.16,59.46,65.28,71.09
