student_id,subject_id,evaluation_date,comments,point
OGB/2024/0,subject_23,2024-09-20,Very bad performance,0
OGB/2024/0,subject_26,2024-10-03,Fair performance,6
OGB/2024/0,subject_13,2024-10-01,Good performance,8
OGB/2024/0,subject_29,2024-10-12,Excellent performance,10
OGB/2024/0,subject_28,2024-09-24,Excellent performance,10
OGB/2024/0,subject_25,2024-10-04,Very bad performance,0
OGB/2024/0,subject_24,2024-10-04,Very bad performance,0
OGB/2024/0,subject_14,2024-10-07,Excellent performance,10
OGB/2024/0,subject_15,2024-09-18,Average performance,4
OGB/2024/1,subject_17,2024-10-12,Excellent performance,10
OGB/2024/1,subject_25,2024-09-22,Very bad performance,0
OGB/2024/1,subject_2,2024-09-19,Fair performance,6
OGB/2024/1,subject_26,2024-09-30,Excellent performance,10
OGB/2024/1,subject_15,2024-10-05,Excellent performance,10
OGB/2024/1,subject_24,2024-09-27,Excellent performance,10
OGB/2024/1,subject_21,2024-09-19,Below average performance,2
OGB/2024/1,subject_18,2024-09-20,Below average performance,2
OGB/2024/1,subject_27,2024-09-19,Fair performance,6
OGB/2024/2,subject_8,2024-10-17,Below average performance,2
OGB/2024/2,subject_6,2024-09-28,Good performance,8
OGB/2024/2,subject_1,2024-09-27,Very bad performance,0
OGB/2024/2,subject_3,2024-10-15,Excellent performance,10
OGB/2024/2,subject_4,2024-10-15,Fair performance,6
OGB/2024/2,subject_7,2024-09-20,Good performance,8
OGB/2024/2,subject_9,2024-10-15,Below average performance,2
OGB/2024/2,subject_5,2024-09-28,Below average performance,2
OGB/2024/3,subject_6,2024-10-08,Very bad performance,0
OGB/2024/3,subject_10,2024-10-06,Excellent performance,10
OGB/2024/3,subject_4,2024-09-23,Very bad performance,0
OGB/2024/3,subject_1,2024-10-01,Good performance,8
OGB/2024/3,subject_5,2024-09-20,Fair performance,6
OGB/2024/3,subject_3,2024-10-09,Below average performance,2
OGB/2024/3,subject_8,2024-09-19,Excellent performance,10
OGB/2024/3,subject_9,2024-10-04,Below average performance,2
OGB/2024/3,subject_7,2024-10-06,Excellent performance,10
OGB/2024/3,subject_2,2024-10-16,Below average performance,2
OGB/2024/4,subject_10,2024-10-11,Very bad performance,0
OGB/2024/4,subject_8,2024-09-30,Below average performance,2
OGB/2024/4,subject_5,2024-09-28,Below average performance,2
OGB/2024/4,subject_9,2024-10-08,Excellent performance,10
OGB/2024/4,subject_3,2024-09-29,Excellent performance,10
OGB/2024/4,subject_6,2024-10-03,Good performance,8
OGB/2024/4,subject_2,2024-10-02,Good performance,8
OGB/2024/4,subject_1,2024-10-03,Excellent performance,10
OGB/2024/4,subject_4,2024-10-02,Good performance,8
OGB/2024/4,subject_7,2024-09-28,Good performance,8
OGB/2024/5,subject_18,2024-09-27,Excellent performance,10
OGB/2024/5,subject_16,2024-10-04,Excellent performance,10
OGB/2024/5,subject_5,2024-09-27,Below average performance,2
OGB/2024/5,subject_13,2024-10-15,Excellent performance,10
OGB/2024/5,subject_28,2024-09-26,Good performance,8
OGB/2024/5,subject_2,2024-10-16,Excellent performance,10
OGB/2024/5,subject_14,2024-09-25,Very bad performance,0
OGB/2024/5,subject_15,2024-09-20,Below average performance,2
OGB/2024/6,subject_27,2024-10-01,Fair performance,6
OGB/2024/6,subject_21,2024-09-23,Fair performance,6
OGB/2024/6,subject_1,2024-09-20,Fair performance,6
OGB/2024/6,subject_14,2024-09-28,Fair performance,6
OGB/2024/6,subject_28,2024-10-06,Good performance,8
OGB/2024/6,subject_22,2024-10-04,Fair performance,6
OGB/2024/6,subject_17,2024-09-18,Fair performance,6
OGB/2024/6,subject_15,2024-10-07,Very bad performance,0
OGB/2024/7,subject_3,2024-10-04,Excellent performance,10
OGB/2024/7,subject_8,2024-10-04,Excellent performance,10
OGB/2024/7,subject_5,2024-09-21,Very bad performance,0
OGB/2024/7,subject_6,2024-10-04,Very bad performance,0
OGB/2024/7,subject_4,2024-09-28,Very bad performance,0
OGB/2024/7,subject_1,2024-10-16,Good performance,8
OGB/2024/7,subject_10,2024-10-04,Below average performance,2
OGB/2024/7,subject_2,2024-09-28,Good performance,8
OGB/2024/7,subject_7,2024-09-30,Below average performance,2
OGB/2024/8,subject_1,2024-09-30,Good performance,8
OGB/2024/8,subject_9,2024-09-22,Good performance,8
OGB/2024/8,subject_2,2024-09-24,Below average performance,2
OGB/2024/8,subject_5,2024-10-11,Excellent performance,10
OGB/2024/8,subject_8,2024-09-21,Good performance,8
OGB/2024/8,subject_10,2024-10-03,Very bad performance,0
OGB/2024/8,subject_6,2024-09-19,Fair performance,6
OGB/2024/8,subject_3,2024-10-03,Excellent performance,10
OGB/2024/8,subject_7,2024-09-25,Excellent performance,10
OGB/2024/9,subject_5,2024-09-27,Good performance,8
OGB/2024/9,subject_10,2024-09-29,Below average performance,2
OGB/2024/9,subject_7,2024-10-10,Good performance,8
OGB/2024/9,subject_8,2024-10-09,Fair performance,6
OGB/2024/9,subject_3,2024-09-24,Below average performance,2
OGB/2024/9,subject_1,2024-10-03,Excellent performance,10
