evaluation_id,student_id,subject_id,evaluation_date,comments,point
1,OGB/2024/0,subject_5,2024-10-05,Excellent performance,10
2,OGB/2024/0,subject_21,2024-09-19,Very bad performance,0
3,OGB/2024/0,subject_6,2024-09-15,Excellent performance,10
4,OGB/2024/0,subject_17,2024-09-26,Excellent performance,10
5,OGB/2024/0,subject_23,2024-09-13,Excellent performance,10
6,OGB/2024/0,subject_22,2024-09-21,Fair performance,6
7,OGB/2024/0,subject_1,2024-09-29,Excellent performance,10
8,OGB/2024/0,subject_18,2024-09-29,Fair performance,6
9,OGB/2024/0,subject_15,2024-09-08,Excellent performance,10
10,OGB/2024/1,subject_13,2024-10-01,Very bad performance,0
11,OGB/2024/1,subject_25,2024-09-19,Excellent performance,10
12,OGB/2024/1,subject_14,2024-09-24,Good performance,8
13,OGB/2024/1,subject_18,2024-10-03,Below average performance,2
14,OGB/2024/1,subject_6,2024-09-14,Very bad performance,0
15,OGB/2024/1,subject_17,2024-09-15,Very bad performance,0
16,OGB/2024/1,subject_1,2024-09-08,Very bad performance,0
17,OGB/2024/1,subject_5,2024-09-11,Excellent performance,10
18,OGB/2024/2,subject_23,2024-10-05,Excellent performance,10
19,OGB/2024/2,subject_26,2024-09-25,Excellent performance,10
20,OGB/2024/2,subject_17,2024-09-23,Below average performance,2
21,OGB/2024/2,subject_24,2024-09-27,Good performance,8
22,OGB/2024/2,subject_5,2024-09-24,Average performance,4
23,OGB/2024/2,subject_22,2024-10-03,Excellent performance,10
24,OGB/2024/2,subject_1,2024-09-13,Fair performance,6
25,OGB/2024/2,subject_16,2024-09-14,Below average performance,2
26,OGB/2024/2,subject_27,2024-10-05,Excellent performance,10
27,OGB/2024/3,subject_26,2024-09-20,Very bad performance,0
28,OGB/2024/3,subject_23,2024-10-07,Below average performance,2
29,OGB/2024/3,subject_29,2024-09-16,Very bad performance,0
30,OGB/2024/3,subject_27,2024-09-28,Below average performance,2
31,OGB/2024/3,subject_22,2024-10-01,Fair performance,6
32,OGB/2024/3,subject_28,2024-09-29,Fair performance,6
33,OGB/2024/3,subject_14,2024-10-04,Good performance,8
34,OGB/2024/3,subject_18,2024-09-18,Good performance,8
35,OGB/2024/3,subject_6,2024-09-11,Below average performance,2
36,OGB/2024/3,subject_5,2024-09-09,Excellent performance,10
37,OGB/2024/4,subject_2,2024-10-02,Fair performance,6
38,OGB/2024/4,subject_3,2024-10-07,Excellent performance,10
39,OGB/2024/4,subject_5,2024-09-27,Excellent performance,10
40,OGB/2024/4,subject_8,2024-10-04,Good performance,8
41,OGB/2024/4,subject_9,2024-09-30,Very bad performance,0
42,OGB/2024/4,subject_6,2024-09-16,Excellent performance,10
43,OGB/2024/4,subject_10,2024-10-05,Very bad performance,0
44,OGB/2024/4,subject_7,2024-09-07,Fair performance,6
45,OGB/2024/5,subject_16,2024-09-26,Excellent performance,10
46,OGB/2024/5,subject_25,2024-09-10,Good performance,8
47,OGB/2024/5,subject_26,2024-09-07,Below average performance,2
48,OGB/2024/5,subject_18,2024-09-07,Very bad performance,0
49,OGB/2024/5,subject_23,2024-09-21,Excellent performance,10
50,OGB/2024/5,subject_15,2024-09-21,Excellent performance,10
51,OGB/2024/5,subject_1,2024-10-02,Good performance,8
52,OGB/2024/5,subject_24,2024-09-20,Excellent performance,10
53,OGB/2024/5,subject_17,2024-09-25,Good performance,8
54,OGB/2024/5,subject_21,2024-09-15,Excellent performance,10
55,OGB/2024/6,subject_8,2024-09-12,Below average performance,2
56,OGB/2024/6,subject_2,2024-09-08,Excellent performance,10
57,OGB/2024/6,subject_10,2024-10-01,Good performance,8
58,OGB/2024/6,subject_4,2024-09-15,Good performance,8
59,OGB/2024/6,subject_7,2024-09-19,Excellent performance,10
60,OGB/2024/6,subject_6,2024-09-09,Good performance,8
61,OGB/2024/6,subject_3,2024-09-22,Fair performance,6
62,OGB/2024/6,subject_9,2024-09-26,Very bad performance,0
63,OGB/2024/6,subject_5,2024-10-06,Excellent performance,10
64,OGB/2024/6,subject_1,2024-09-08,Very bad performance,0
65,OGB/2024/7,subject_24,2024-10-04,Average performance,4
66,OGB/2024/7,subject_15,2024-09-17,Fair performance,6
67,OGB/2024/7,subject_29,2024-09-19,Good performance,8
